external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
244,"Nalga, cocida",Proteinas de origen animal,,Proteinas de origen animal,100,g,197,38.6,0.7,4.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/244.htm
246,"Paleta, cocida",Proteinas de origen animal,,Proteinas de origen animal,100,g,207,37,0.4,6.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/246.htm
247,"Paleta, cruda",Proteinas de origen animal,,Proteinas de origen animal,100,g,107,19,0.2,3.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/247.htm
248,"Vacío, cocido",Proteinas de origen animal,,Proteinas de origen animal,100,g,231,41.1,1.2,6.8,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/248.htm
249,"Vacío, crudo",Proteinas de origen animal,,Proteinas de origen animal,100,g,105,18.4,3.1,2.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/249.htm
25,"Trigo, galletitas de agua ""Traviata""",Cereales y tuberculos,,Cereales y tuberculos,100,g,437,12.2,67.6,13.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/25.htm
253,"Nalga, cruda",Proteinas de origen animal,,Proteinas de origen animal,100,g,103,21,2.5,1.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/253.htm
26,"Trigo, galletitas de harina blanca",Cereales y tuberculos,,Cereales y tuberculos,100,g,410,12.2,64.2,11.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/26.htm
27,"Trigo, galletitas de harina integral",Cereales y tuberculos,,Cereales y tuberculos,100,g,411,10.6,56.5,15.8,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/27.htm
28,"Trigo, galletitas dulces ""Manón""",Cereales y tuberculos,,Cereales y tuberculos,100,g,417,8.5,73,10.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/28.htm
29,"Trigo, galletitas dulces ""Minue""",Cereales y tuberculos,,Cereales y tuberculos,100,g,419,8.2,67,13.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/29.htm
296,"Leche de burra, entera, fluida",Lacteos,,Lacteos,100,g,45,1.9,6.2,1.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/296.htm
297,"Leche de cabra, entera, fluida",Lacteos,,Lacteos,100,g,78,3.3,3,5.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/297.htm
298,"Leche de oveja, entera, fluida",Lacteos,,Lacteos,100,g,99,5.5,4.5,6.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/298.htm
299,"Leche humana, entera, fluida",Lacteos,,Lacteos,100,g,71,1.1,7.1,4.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/299.htm
3,"Avena , grano, arrollada, cruda",Cereales y tuberculos,,Cereales y tuberculos,100,g,383,15.6,62.5,7.8,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/3.htm
30,"Trigo, galletitas oblea ""Opera""",Cereales y tuberculos,,Cereales y tuberculos,100,g,442,4.9,58,21.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/30.htm
300,"Leche humana, entera, en polvo",Lacteos,,Lacteos,100,g,520,9.6,49.5,31.5,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/300.htm
301,"Leche de vaca, entera, fluida, pasteurizada",Lacteos,,Lacteos,100,g,57,3.1,4.6,2.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/301.htm
302,"Leche de vaca, entera, fluida, adicionada con vitamina A",Lacteos,,Lacteos,100,g,57,3.1,4.6,2.9,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/302.htm
303,"Leche de vaca parcialm. descremada, adic. con vit A y D",Lacteos,,Lacteos,100,g,44,3.2,4.6,1.4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/303.htm
304,Leche en polvo entera,Lacteos,,Lacteos,100,g,489,25.8,40.9,24.8,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/304.htm
305,Leche en polvo descremada,Lacteos,,Lacteos,100,g,370,35.5,52.2,1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/305.htm
306,"Leche, condensada, Nestlé",Lacteos,,Lacteos,100,g,328,8,55.8,8.1,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/306.htm
307,"Manteca, fresca",Lacteos,,Lacteos,100,g,758,0.5,0,84,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/307.htm
308,"Queso crema, entero, untable",Lacteos,,Lacteos,100,g,246,6.6,3.9,22.6,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/308.htm
309,"Queso semidescremado, untable",Lacteos,,Lacteos,100,g,104,11.5,5.5,4,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/309.htm
31,"Trigo, grisines",Cereales y tuberculos,,Cereales y tuberculos,100,g,342,12.5,72.6,0.2,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/31.htm
310,"Queso descremado, untable",Lacteos,,Lacteos,100,g,82,13.7,6.1,0.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/310.htm
311,"Queso, Petit Suisse",Lacteos,,Lacteos,100,g,182,14.1,0,14,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/311.htm
312,Queso Belpaese,Lacteos,,Lacteos,100,g,309,20.3,0.02,25.3,https://www.argenfood.unlu.edu.ar/Tablas/Codigo/312.htm
