external_id,name,group_name,subgroup_name,category_name,serving_qty,serving_unit,calories_kcal,protein_g,carbs_g,fat_g,source_url
2257,"Cerdo, chuleta, crudo",Proteinas de origen animal,,Cárnicos y derivados,100,g,209.85,19.0,0.0,15.0,https://www.bedca.net/bdpub/index.php
2258,"Cerdo, costilla, crudo",Proteinas de origen animal,,Cárnicos y derivados,100,g,278.18,17.1,0.0,23.6,https://www.bedca.net/bdpub/index.php
688,"Cerdo, lomo, asado",Proteinas de origen animal,,Cárnicos y derivados,100,g,235.9,27.0,0.0,14.27,https://www.bedca.net/bdpub/index.php
2259,"Cerdo, lomo, crudo",Proteinas de origen animal,,Cárnicos y derivados,100,g,151.84,18.0,0.0,8.9,https://www.bedca.net/bdpub/index.php
2260,"Cerdo, panceta, cruda",Proteinas de origen animal,,Cárnicos y derivados,100,g,464.91,12.5,0.5,46.6,https://www.bedca.net/bdpub/index.php
2261,"Cerdo, parte sin especificar",Proteinas de origen animal,,Cárnicos y derivados,100,g,270.84,16.6,0.0,23.0,https://www.bedca.net/bdpub/index.php
689,"Cerdo, pierna, cruda, con grasa separable",Proteinas de origen animal,,Cárnicos y derivados,100,g,211.62,19.0,0.0,15.2,https://www.bedca.net/bdpub/index.php
961,"Cerdo, solomillo, asado",Proteinas de origen animal,,Cárnicos y derivados,100,g,158.59,28.8,0.0,4.7,https://www.bedca.net/bdpub/index.php
1021,"Cerdo, solomillo, crudo",Proteinas de origen animal,,Cárnicos y derivados,100,g,130.43,21.0,0.0,5.1,https://www.bedca.net/bdpub/index.php
2666,Cereales base trigo y chocolate,Azucares y dulces,,Cereales y derivados,100,g,383.72,8.0,81.0,2.5,https://www.bedca.net/bdpub/index.php
1018,Cereales desayuno base de arroz chocolateado,Azucares y dulces,,Cereales y derivados,100,g,385.97,6.0,86.6,1.1,https://www.bedca.net/bdpub/index.php
1026,Cereales desayuno base de arroz y miel,Azucares y dulces,,Cereales y derivados,100,g,383.05,5.1,87.0,1.0,https://www.bedca.net/bdpub/index.php
1028,"Cereales desayuno base de arroz, trigo y fruta",Frutas,,Cereales y derivados,100,g,354.25,5.8,76.6,2.2,https://www.bedca.net/bdpub/index.php
1031,Cereales desayuno base de maíz y miel,Azucares y dulces,,Cereales y derivados,100,g,392.57,6.0,83.0,3.5,https://www.bedca.net/bdpub/index.php
1032,Cereales desayuno base de maíz y trigo,Cereales y tuberculos,,Cereales y derivados,100,g,379.21,6.0,80.8,3.0,https://www.bedca.net/bdpub/index.php
1188,"Cereales desayuno base de maíz, trigo y avena",Cereales y tuberculos,,Cereales y derivados,100,g,414.03,6.2,80.9,6.8,https://www.bedca.net/bdpub/index.php
1034,Cereales desayuno base de trigo azucarado,Azucares y dulces,,Cereales y derivados,100,g,383.01,7.0,84.0,1.5,https://www.bedca.net/bdpub/index.php
1035,Cereales desayuno base de trigo y arroz,Cereales y tuberculos,,Cereales y derivados,100,g,378.59,16.0,75.0,1.0,https://www.bedca.net/bdpub/index.php
1036,Cereales desayuno base de trigo y frutas,Frutas,,Cereales y derivados,100,g,365.2,8.0,71.0,5.0,https://www.bedca.net/bdpub/index.php
1038,Cereales desayuno base de trigo y miel,Azucares y dulces,,Cereales y derivados,100,g,394.86,5.7,88.0,1.6,https://www.bedca.net/bdpub/index.php
1039,"Cereales desayuno base de trigo, avena, maiz y miel",Azucares y dulces,,Cereales y derivados,100,g,396.82,8.0,79.0,4.9,https://www.bedca.net/bdpub/index.php
1040,"Cereales desayuno base de trigo, avena, maíz, miel y nueces",Azucares y dulces,,Cereales y derivados,100,g,390.97,11.0,80.0,2.4,https://www.bedca.net/bdpub/index.php
2155,Cereales desayuno base muesli,Cereales y tuberculos,,Cereales y derivados,100,g,370.22,10.3,65.8,6.9,https://www.bedca.net/bdpub/index.php
1042,"Cereales desayuno, maíz azucarado",Azucares y dulces,,Cereales y derivados,100,g,380.26,4.5,88.0,0.5,https://www.bedca.net/bdpub/index.php
